Dark Horse Public House,499 Broadway,Magoun Square,Somerville,,,
Davis Square,Somerville,,,,,
Deborah Mason School of Dance,624 Somerville Ave.,near Porter Square in Somerville,,,,
Cambridge Department of Public Works,147 Hampshire St.,Wellington-Harrington,Cambridge ,,,
Dilboy Stadium,110 Alewife Brook Parkway,Somerville,,,,
Donnelly Field (Berkshire and York streets),East Cambridge,,,,,
Goofs Comedy Club,432 McGrath Highway,East Somerville,,,,
Dr. Martin Luther King Jr. School,102 Putnam Ave.,Riverside,Cambridge ,,,
Massachusetts Institute of Technology’s duPont Athletic Center,100 Massachusetts Ave.,Cambridge ,,,,
Dx@Dunster,33 Dunster St.,Harvard Square,Cambridge,,,
Massachusetts Institute of Technology’s Building 6-120,also known as Eastman Laboratories,at 182 Memorial Drive,Cambridge ,,,
East Somerville Community School,50 Cross St.,Somerville ,,,,
EF Education First,1 Education St.,NorthPoint,Cambridge ,,,
Lesley University’s Hall Amphitheater,1815 Massachusetts Ave.,Porter Square,Cambridge ,,,
Harvard University’s Farkas Hall Studio,10-12 Holyoke St.,Harvard Square,Cambridge ,,,
First Church in Cambridge,11 Garden St.,Harvard Square,,,,
First Church Somerville UCC,89 College Ave.,Somerville,,,,
First Parish Cambridge Unitarian Universalist,3 Church St./1446 Massachusetts Ave.,Harvard Square,Cambridge ,,,
Cambridge Rindge and Latin School’s Fitzgerald Auditorium,459 Broadway,Mid-Cambridge,,,,
Dexter Pratt House,56 Brattle St.,Harvard Square,Cambridge,,,
Cambridge Election Commission,689 Massachusetts Ave.,Central Square,,,,
Elizabeth Peabody House,275 Broadway,Winter Hill,Somerville,,,
Flat Top Johnny’s,238 Main St.,Kendall Square,Cambridge,,,
Fletcher-Maynard Academy,225 Windsor St.,The Port,Cambridge ,,,
Foss Park,219 Broadway,Winter Hill,Somerville,,,
Founders Memorial Skating Rink,8 Garden Court,Ward 2,Somerville,,,
Foundry,101 Rogers St.,East Cambridge,,,,
Friends Meeting House,5 Longfellow Park,near Harvard Square,Cambridge ,,,
Frisoli Youth Center,61 Willow St., Wellington-Harrington neighborhood,Cambridge ,,,
Gallery 263,263 Pearl St.,Cambridgeport,,,,
Gallery 344 is on the second floor of City Hall Annex,344 Broadway,Mid-Cambridge,,,,
Gallery at Washington Street,321 Washington St.,Somerville,,,,
Garment District,200 Broadway,The Port near Kendall Square,Cambridge ,,,
George Dilboy VFW Post 529,371 Summer St.,Davis Square,Somerville,,,
Gilman Park,358 Medford St.,Gilman Square,Somerville,,,
Glacken Field (600 Huron Ave.),West Cambridge,,,,,
Glass House,450 Kendall St.,Kendall Square,Cambridge ,,,
Gold Star Mother’s Park,123 Gore St.,East Cambridge,,,,
Good Vibrations,52 JFK St.,Harvard Square,Cambridge ,,,
Google Kendall Square,355 Main St.,Kendall Square,Cambridge ,,,
Graffiti Alley,across from Pearl Street on Massachusetts Avenue,Central Square,Cambridge ,,,
Granoff Music Center at Tufts University,20 Talbot Ave.,near Powder House Square,Somerville,,,
Great Dome at the Massachusetts Institute of Technology,222 Memorial Drive,Area II,Cambridge ,,,
Great Lawn at Assembly Row,399 Revolution Drive,Somerville ,,,,
Green Room,62 Bow St.,Union Square,Somerville,,,
Greene-Rose Heritage Park,155 Harvard St.,The Port,Cambridge,,,
Green Street Studios,185 Green St.,Central Square,Cambridge ,,,
Grendel’s Den Restaurant & Bar,89 Winthrop St.,Harvard Square,Cambridge ,,,
Grolier Poetry Book Shop,6 Plympton St.,Harvard Square,Cambridge ,,,
Growing Center,22 Vinal Ave.,near Union Square,Somerville,,,
Harvard University’s Gund Hall,48 Quincy St.,Mid-Cambridge near Harvard Square,,,,
Harry S Truman Apartments,25 Eighth St.,East Cambridge,,,,
Harvard Advocate,21 South St.,Harvard Square,Cambridge ,,,
Harvard Art Museums,32 Quincy St.,near Harvard Square,Cambridge ,,,
